numberid,day,month,year,hour,station,lat,lon,depth,taxon,category,fluorescence,oxygen,salinity,temperature
7567,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7568,9,9,2021,10,218,-22.96335,-41.95588,1,Calanoida,Copepoda,NA,NA,NA,NA
7569,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7570,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7571,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7572,9,9,2021,10,218,-22.96335,-41.95588,1,Calanoida,Copepoda,NA,NA,NA,NA
7573,9,9,2021,10,218,-22.96335,-41.95588,1,Calanoida,Copepoda,NA,NA,NA,NA
7574,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7575,9,9,2021,10,218,-22.96335,-41.95588,1,Brachyura,Outros,NA,NA,NA,NA
7576,9,9,2021,10,218,-22.96335,-41.95588,1,Bacillariophyceae,Diatoms,NA,NA,NA,NA
7577,9,9,2021,10,218,-22.96335,-41.95588,1,Brachyura,Outros,NA,NA,NA,NA
7578,9,9,2021,10,218,-22.96335,-41.95588,1,Calanoida,Copepoda,NA,NA,NA,NA
7579,9,9,2021,10,218,-22.96335,-41.95588,1,Turbinata,Copepoda,NA,NA,NA,NA
7580,9,9,2021,10,218,-22.96335,-41.95588,1,Calanoida,Copepoda,NA,NA,NA,NA
7581,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7582,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7583,9,9,2021,10,218,-22.96335,-41.95588,1,Calanoida,Copepoda,NA,NA,NA,NA
7584,9,9,2021,10,218,-22.96335,-41.95588,1,Calanoida,Copepoda,NA,NA,NA,NA
7585,9,9,2021,10,218,-22.96335,-41.95588,1,Turbinata,Copepoda,NA,NA,NA,NA
7586,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7587,9,9,2021,10,218,-22.96335,-41.95588,1,Maxillopoda,Copepoda,NA,NA,NA,NA
7588,9,9,2021,10,218,-22.96335,-41.95588,1,Calanoida,Copepoda,NA,NA,NA,NA
