station,lat,lon,depth,temperature,salinity,fluorescence
3,-25.42555556,-46.4675,1,26.7806,35.9453,0.185
4,-25.36388889,-46.30472222,1,26.3955,35.9509,0.202
10,-26.30444444,-45.25777778,1,26.8268,37.1468,0.109
12,-25.68944444,-44.84972222,1,25.5324,36.694,0.0837
13,-25.555,-45.05694444,1,25.4374,36.6095,0.0962
14,-25.25944444,-45.21972222,1,25.7555,35.8542,0.127
15,-25.29861111,-45.42888889,1,25.6202,35.8419,0.147
18,-24.81944444,-46.14361111,1,25.757,34.1445,0.1357
21,-24.35194444,-45.45111111,1,25.5051,36.17792115,0.1357
23,-24.64416667,-45.1,1,26.0799,35.5965,0.1357
24,-24.80555556,-44.925,1,25.5074,36.1312,0.1357
25,-25.08666667,-44.74277778,1,26.8003,36.9484,0.1357
28,-25.49722222,-44.21722222,1,26.7567,36.7708,0.1357
29,-24.96888889,-43.73722222,1,26.5023,36.8344,0.1357
31,-24.68138889,-44.10194444,1,26.6925,36.6818,0.1357
32,-24.42611111,-44.27444444,1,25.4608,36.4245,0.1357
33,-24.43055556,-44.465,1,23.936,35.8646,0.1357
34,-24.10916667,-44.64277778,1,25.564,35.4798,0.1357
35,-23.9274788,-44.81777778,1,26.2392,35.4499,0.1357
36,-23.77030537,-44.98444444,1,26.792,35.5328,0.1357
38,-23.89722222,-44.08805556,1,25.717,35.7327,0.1357
41,-24.20027778,-43.55722222,1,25.7955,36.3537,0.1357
45,-24.44388889,-42.62138889,1,26.14,36.05,0.1357
47,-24.12361111,-42.93722222,1,25.4697,36.1172,0.1357
48,-23.95416667,-43.08833333,1,26.3318,36.5693,0.1357
49,-23.71694444,-43.2375,1,25.8172,36.1541,0.1357
50,-23.51972222,-43.38472222,1,25.9265,36.0521,0.1357
51,-23.52,-43.53916667,1,26.4023,35.5273,0.1357
52,-23.34555556,-42.66888889,1,24.9875,35.7626,0.1357
53,-23.46555556,-42.50638889,1,24.1877,35.9877,0.1357
54,-23.72194444,-42.34472222,1,25.0311,35.9975,0.1357
55,-23.96055556,-42.17638889,1,25.2909,35.9827,0.1357
56,-24.19388889,-42.01166667,1,25.1731,35.9572,0.1357
58,-23.93861111,-41.41055556,1,27.2544,36.504,0.1357
60,-23.82055556,-41.72333333,1,25.944,35.856,0.1357
62,-23.31777778,-42.02111111,1,25.7614,35.6984,0.1357
66,-23.83138889,-41.36111111,1,27.4732,36.17792115,0.1357
69,-23.65277778,-41.15305556,1,27.4934,37.1648,0.1357
71,-23.21888889,-41.47138889,1,24.8779,35.7244,0.1357
72,-23.06055556,-41.62166667,1,25.9158,35.5569,0.1357
73,-22.66444444,-41.4675,1,23.9911,35.7386,0.1357
74,-22.8925,-41.30666667,1,25.3983,34.8542,0.1357
75,-22.96277778,-41.15611111,1,26.9243,37.0448,0.1357
76,-23.14583333,-40.98333333,1,27.4165,37.1475,0.1357
77,-23.41444444,-40.83861111,1,27.3934,37.1153,0.1357
77,-23.41444444,-40.83583333,1,27.4094,37.116,0.1357
78,-22.87027778,-40.40888889,1,26.1687,36.4303,0.1357
79,-22.71,-40.59583333,1,25.2737,36.5801,0.1357
80,-22.6,-40.77805556,1,25.5679,36.5967,0.1357
81,-22.45611111,-40.96027778,1,23.373,35.7755,0.1357
82,-21.85833333,-40.67805556,1,23.9434,35.9981,0.1357
83,-21.99166667,-40.45333333,1,24.5219,36.17792115,0.1357
84,-21.98083333,-40.24638889,1,25.9989,36.4686,0.1357
85,-22.10083333,-40.02694444,1,27.571,36.4633,0.1357
86,-22.24805556,-39.80833333,1,27.8031,37.2725,0.1357
3,-25.42555556,-46.4675,2,26.7766,35.944,0.183
4,-25.36388889,-46.30472222,2,26.389,35.9468,0.219
6,-25.855,-45.95861111,2,25.8233,35.905,0.123
7,-25.92777778,-45.77944444,2,26.1534,36.7654,0.107
9,-26.09527778,-45.41916667,2,27.1239,37.1336,0.0946
10,-26.30444444,-45.25777778,2,26.8259,37.1436,0.0886
12,-25.68944444,-44.84972222,2,25.5172,36.6889,0.0824
13,-25.555,-45.05694444,2,25.444,36.6076,0.0941
14,-25.25944444,-45.21972222,2,25.7614,35.8516,0.118
15,-25.29861111,-45.42888889,2,25.6214,35.8411,0.148
18,-24.81944444,-46.14361111,2,24.2828,34.7708,0.12577
21,-24.35194444,-45.45111111,2,24.8569,35.3215,0.12577
23,-24.64416667,-45.1,2,25.9445,35.7019,0.12577
24,-24.80555556,-44.925,2,25.4908,36.1377,0.12577
25,-25.08666667,-44.74277778,2,26.7717,36.9679,0.12577
27,-25.37861111,-44.3875,2,26.5875,36.8021,0.12577
28,-25.49722222,-44.21722222,2,26.7526,36.7669,0.12577
29,-24.96888889,-43.73722222,2,26.492,36.8357,0.12577
30,-24.92888889,-43.92583333,2,26.7522,36.8359,0.12577
31,-24.68138889,-44.10194444,2,26.6948,36.6808,0.12577
32,-24.42611111,-44.27444444,2,25.4627,36.4248,0.12577
33,-24.43055556,-44.465,2,23.9511,35.8565,0.12577
34,-24.10916667,-44.64277778,2,25.5647,35.4778,0.12577
35,-23.9274788,-44.81777778,2,26.2088,35.4572,0.12577
36,-23.77030537,-44.98444444,2,26.421,35.5168,0.12577
38,-23.89722222,-44.08805556,2,25.7201,35.7296,0.12577
39,-23.97472222,-43.90861111,2,25.7902,36.1521,0.12577
40,-23.97694444,-43.73638889,2,25.9775,36.2569,0.12577
41,-24.20027778,-43.55722222,2,25.7908,36.3481,0.12577
42,-24.49138889,-43.37222222,2,27.6273,37.1259,0.12577
43,-24.52972222,-43.20416667,2,27.8451,37.1287,0.12577
45,-24.44388889,-42.62138889,2,26.1411,36.0483,0.12577
46,-24.32055556,-42.78055556,2,25.9433,36.1981,0.12577
47,-24.12361111,-42.93722222,2,25.4206,36.1437,0.12577
48,-23.95416667,-43.08833333,2,26.3299,36.5686,0.12577
49,-23.71694444,-43.2375,2,25.8174,36.1549,0.12577
50,-23.51972222,-43.38472222,2,25.9273,36.0598,0.12577
51,-23.52,-43.53916667,2,26.4011,35.5273,0.12577
52,-23.34555556,-42.66888889,2,24.9701,35.7861,0.12577
53,-23.46555556,-42.50638889,2,24.1949,35.9855,0.12577
54,-23.72194444,-42.34472222,2,25.0339,35.9967,0.12577
55,-23.96055556,-42.17638889,2,25.2935,35.9765,0.12577
56,-24.19388889,-42.01166667,2,25.1536,35.9857,0.12577
57,-24.37305556,-41.82472222,2,26.6139,36.8782,0.12577
58,-23.93861111,-41.41055556,2,27.2504,36.5727,0.12577
59,-24.03083333,-41.56583333,2,26.63,36.9062,0.12577
60,-23.82055556,-41.72333333,2,25.934,35.8677,0.12577
61,-23.63416667,-41.85777778,2,25.4015,35.863,0.12577
62,-23.31777778,-42.02111111,2,25.7501,35.6976,0.12577
64,-23.37472222,-41.66888889,2,24.9307,35.8626,0.12577
65,-23.70055556,-41.51,2,25.7527,35.9533,0.12577
66,-23.83138889,-41.36111111,2,27.4764,36.8738,0.12577
67,-23.77777778,-41.20638889,2,27.3219,37.0785,0.12577
68,-23.63777778,-40.99666667,2,27.3814,37.0863,0.12577
69,-23.65277778,-41.15305556,2,27.4931,37.1637,0.12577
70,-23.43388889,-41.31666667,2,26.4501,36.8826,0.12577
71,-23.21888889,-41.47138889,2,24.8768,35.7242,0.12577
72,-23.06055556,-41.62166667,2,25.9087,35.5504,0.12577
73,-22.66444444,-41.4675,2,24.1084,35.7005,0.12577
74,-22.8925,-41.30666667,2,25.4032,34.8503,0.12577
75,-22.96277778,-41.15611111,2,26.9251,37.0436,0.12577
76,-23.14583333,-40.98333333,2,27.4176,37.1474,0.12577
77,-23.41444444,-40.83861111,2,27.3945,37.1137,0.12577
77,-23.41444444,-40.83583333,2,27.4124,37.1129,0.12577
78,-22.87027778,-40.40888889,2,26.171,36.4274,0.12577
79,-22.71,-40.59583333,2,25.2872,36.5842,0.12577
80,-22.6,-40.77805556,2,25.5214,36.5495,0.12577
81,-22.45611111,-40.96027778,2,23.3252,35.853,0.12577
82,-21.85833333,-40.67805556,2,23.9633,35.9954,0.12577
83,-21.99166667,-40.45333333,2,24.5892,36.4515,0.12577
84,-21.98083333,-40.24638889,2,26.0534,36.4492,0.12577
85,-22.10083333,-40.02694444,2,27.5712,36.4633,0.12577
86,-22.24805556,-39.80833333,2,27.8046,37.2706,0.12577
3,-25.42555556,-46.4675,3,26.7771,35.9384,0.182
4,-25.36388889,-46.30472222,3,26.3893,35.9466,0.216
5,-25.49083333,-46.12222222,3,26.4166,36.218,0.14
6,-25.855,-45.95861111,3,25.8243,35.9025,0.127
7,-25.92777778,-45.77944444,3,26.2681,36.9586,0.108
8,-26.01666667,-45.60166667,3,26.8939,37.1321,0.0865
9,-26.09527778,-45.41916667,3,27.1332,37.1368,0.0878
10,-26.30444444,-45.25777778,3,26.8184,37.1449,0.0836
11,-25.86472222,-44.6725,3,26.2253,37.0472,0.0944
12,-25.68944444,-44.84972222,3,25.5183,36.6876,0.0833
13,-25.555,-45.05694444,3,25.4306,36.6153,0.0961
14,-25.25944444,-45.21972222,3,25.7617,35.8519,0.119
15,-25.29861111,-45.42888889,3,25.6223,35.8403,0.147
18,-24.81944444,-46.14361111,3,25.6804,33.9169,0.120823077
21,-24.35194444,-45.45111111,3,24.9748,35.2933,0.120823077
22,-24.65805556,-45.27,3,26.3105,35.3284,0.120823077
23,-24.64416667,-45.1,3,25.7977,35.7456,0.120823077
24,-24.80555556,-44.925,3,25.495,36.1246,0.120823077
25,-25.08666667,-44.74277778,3,26.7737,36.9683,0.120823077
27,-25.37861111,-44.3875,3,26.5915,36.7999,0.120823077
28,-25.49722222,-44.21722222,3,26.7576,36.7635,0.120823077
29,-24.96888889,-43.73722222,3,26.4886,36.8345,0.120823077
30,-24.92888889,-43.92583333,3,26.7505,36.8508,0.120823077
31,-24.68138889,-44.10194444,3,26.6957,36.6802,0.120823077
32,-24.42611111,-44.27444444,3,25.4627,36.4236,0.120823077
33,-24.43055556,-44.465,3,23.928,35.8734,0.120823077
34,-24.10916667,-44.64277778,3,25.5265,35.5034,0.120823077
35,-23.9274788,-44.81777778,3,26.1976,35.4554,0.120823077
36,-23.77030537,-44.98444444,3,26.432,35.523,0.120823077
37,-23.55361111,-44.26666667,3,26.8929,35.3446,0.120823077
38,-23.89722222,-44.08805556,3,25.7217,35.7292,0.120823077
39,-23.97472222,-43.90861111,3,25.7924,36.1539,0.120823077
40,-23.97694444,-43.73638889,3,25.9877,36.2586,0.120823077
41,-24.20027778,-43.55722222,3,25.8013,36.3517,0.120823077
42,-24.49138889,-43.37222222,3,27.5721,37.1323,0.120823077
43,-24.52972222,-43.20416667,3,27.849,37.1218,0.120823077
44,-24.55416667,-42.48888889,3,26.3493,36.5953,0.120823077
45,-24.44388889,-42.62138889,3,26.1423,36.0481,0.120823077
